Category,Chapter,Sentence No,Matched Keyword,Sentence,Score
Investment Advice,0,23,Invest,Kiyosaki Rich Dad Poor Dad What the Rich Teach Their Kids About Money  That the Poor and Middle Class Do Not Rich Dads CASHFLOW Quadrant Guide to Financial Freedom Rich Dads Guide to Investing What the Rich Invest in That the Poor and Middle Class Do Not Rich Dads Rich Kid Smart Kid Give Your Child a Financial Head Start Rich Dads Retire Young Retire Rich How to Get Rich and Stay Rich Rich Dads Prophecy Why the Biggest Stock Market Crash in History Is Still Coming...,3
Business & Education,0,23,Teach,Kiyosaki Rich Dad Poor Dad What the Rich Teach Their Kids About Money  That the Poor and Middle Class Do Not Rich Dads CASHFLOW Quadrant Guide to Financial Freedom Rich Dads Guide to Investing What the Rich Invest in That the Poor and Middle Class Do Not Rich Dads Rich Kid Smart Kid Give Your Child a Financial Head Start Rich Dads Retire Young Retire Rich How to Get Rich and Stay Rich Rich Dads Prophecy Why the Biggest Stock Market Crash in History Is Still Coming...,2
Short Quote (10–25 words),0,24,length_match,And How You Can Prepare Yourself and Profit from It!,1
Money Terms,0,25,Money,Rich Dads Success Stories RealLife Success Stories from RealLife People Who Followed the Rich Dad Lessons Rich Dads Guide to Becoming Rich Without Cutting Up Your Credit Cards Turn Bad Debt into Good Debt Rich Dads Who Took My Money?,2
Money Terms,0,26,Money,Why Slow Investors Lose and Fast Money Wins!,2
Investment Advice,0,26,Invest,Why Slow Investors Lose and Fast Money Wins!,3
Short Quote (10–25 words),0,27,length_match,Rich Dad Poor Dad for Teens The Secrets About Money  That You Dont Learn In School!,1
Money Terms,0,27,Money,Rich Dad Poor Dad for Teens The Secrets About Money  That You Dont Learn In School!,2
Rich vs Poor Mindset,0,27,Rich Dad Poor,Rich Dad Poor Dad for Teens The Secrets About Money  That You Dont Learn In School!,4
Money Terms,0,28,Money,"Escape the Rat Race Learn How Money Works and Become a Rich Kid Rich Dads Before You Quit Your Job Ten RealLife Lessons Every Entrepreneur Should Know About Building a MultimillionDollar Business Rich Dads Increase Your Financial IQ Get Smarter with Your Money Robert Kiyosakis Conspiracy of the Rich The 8 New Rules of Money Unfair Advantage The Power of Financial Education Why A Students Work for C Students Rich Dads Guide to Financial Education for Parents To parents everywhere, a childs first and most important teachers, and to all those who educate, influence, and lead by example x Acknowledgments How does a person say thank you when there are so many people to thank?",2
Business & Education,0,28,Business,"Escape the Rat Race Learn How Money Works and Become a Rich Kid Rich Dads Before You Quit Your Job Ten RealLife Lessons Every Entrepreneur Should Know About Building a MultimillionDollar Business Rich Dads Increase Your Financial IQ Get Smarter with Your Money Robert Kiyosakis Conspiracy of the Rich The 8 New Rules of Money Unfair Advantage The Power of Financial Education Why A Students Work for C Students Rich Dads Guide to Financial Education for Parents To parents everywhere, a childs first and most important teachers, and to all those who educate, influence, and lead by example x Acknowledgments How does a person say thank you when there are so many people to thank?",2
Short Quote (10–25 words),0,30,length_match,"The person most responsible for this book becoming a reality is my wife Kimmy partner in marriage, business, and in life.",1
Business & Education,0,30,business,"The person most responsible for this book becoming a reality is my wife Kimmy partner in marriage, business, and in life.",2
Money Terms,1,32,Money,xii Contents Introduction Rich Dad Poor Dad........................................................................................1 Chapter One Lesson 1 The Rich Dont Work for Money....................................................9 Chapter Two Lesson 2 Why Teach Financial Literacy?......................................................41 Chapter Three Lesson 3 Mind Your Own Business.............................................................71 Chapter Four Lesson 4 The History of Taxes and the Power of Corporations...........................,2
Rich vs Poor Mindset,1,32,Rich Dad Poor,xii Contents Introduction Rich Dad Poor Dad........................................................................................1 Chapter One Lesson 1 The Rich Dont Work for Money....................................................9 Chapter Two Lesson 2 Why Teach Financial Literacy?......................................................41 Chapter Three Lesson 3 Mind Your Own Business.............................................................71 Chapter Four Lesson 4 The History of Taxes and the Power of Corporations...........................,4
Business & Education,1,32,Teach,xii Contents Introduction Rich Dad Poor Dad........................................................................................1 Chapter One Lesson 1 The Rich Dont Work for Money....................................................9 Chapter Two Lesson 2 Why Teach Financial Literacy?......................................................41 Chapter Three Lesson 3 Mind Your Own Business.............................................................71 Chapter Four Lesson 4 The History of Taxes and the Power of Corporations...........................,2
Money Terms,5,33,Money,79 Chapter Five Lesson 5 The Rich Invent Money................................................................91 Chapter Six Lesson 6 Work to LearnDont Work for Money.....................................115 Chapter Seven Overcoming Obstacles...............................................................................129 Chapter Eight Getting Started ..........................................................................................145 Chapter Nine Still Want More?,2
Rich vs Poor Mindset,10,34,RICH DAD POOR DAD Having two dads offered me the choice of contrasting points of view one of a rich man and one of a poor,Here Are Some To Dos....................................................167 Final Thoughts..........................................................................................173 Introduction RICH DAD POOR DAD Having two dads offered me the choice of contrasting points of view one of a rich man and one of a poor man.,4
Short Quote (10–25 words),10,35,length_match,"I had two fathers, a rich one and a poor one.",1
Rich vs Poor Mindset,10,35,rich one and a poor,"I had two fathers, a rich one and a poor one.",4
Short Quote (10–25 words),10,38,length_match,and completed four years of undergraduate work in less than two years.,1
Short Quote (10–25 words),10,39,length_match,"He then went on to Stanford University, the University of Chicago, and Northwestern University to do his advanced studies, all on full financial scholarships.",1
Short Quote (10–25 words),10,41,length_match,"Both men were successful in their careers, working hard all their lives.",1
Short Quote (10–25 words),10,44,length_match,The other would become one of the richest men in Hawaii.,1
Short Quote (10–25 words),10,45,length_match,"One died leaving tens of millions of dollars to his family, charities, and his church.",1
Short Quote (10–25 words),10,48,length_match,"Both men offered me advice, but they did not advise the same things.",1
Short Quote (10–25 words),10,49,length_match,Both men believed strongly in education but did not recommend the same course of study.,1
Business & Education,10,49,education,Both men believed strongly in education but did not recommend the same course of study.,2
Short Quote (10–25 words),10,50,length_match,"If I had had only one dad, I would have had to accept or reject his advice.",1
Short Quote (10–25 words),10,51,length_match,Having two dads offered me the choice of contrasting points of view one of a rich man and one of a poor man.,1
Rich vs Poor Mindset,10,51,rich man and one of a poor,Having two dads offered me the choice of contrasting points of view one of a rich man and one of a poor man.,4
Short Quote (10–25 words),10,52,length_match,"Instead of simply accepting or rejecting one or the other, I found myself thinking more, comparing, and then choosing for myself.",1
Mindset & Thinking,10,52,thinking,"Instead of simply accepting or rejecting one or the other, I found myself thinking more, comparing, and then choosing for myself.",3
Short Quote (10–25 words),10,53,length_match,"The problem was that the rich man was not rich yet, and the poor man 1 Introduction was not yet poor.",1
Rich vs Poor Mindset,10,53,"rich man was not rich yet, and the poor man 1 Introduction was not yet poor","The problem was that the rich man was not rich yet, and the poor man 1 Introduction was not yet poor.",4
Short Quote (10–25 words),10,54,length_match,"Both were just starting out on their careers, and both were struggling with money and families.",1
Money Terms,10,54,money,"Both were just starting out on their careers, and both were struggling with money and families.",2
Short Quote (10–25 words),10,55,length_match,But they had very different points of view about money.,1
Money Terms,10,55,money,But they had very different points of view about money.,2
Short Quote (10–25 words),10,56,length_match,"For example, one dad would say, The love of money is the root of all evil.",1
Money Terms,10,56,money,"For example, one dad would say, The love of money is the root of all evil.",2
Short Quote (10–25 words),10,57,length_match,"The other said, The lack of money is the root of all evil.",1
Money Terms,10,57,money,"The other said, The lack of money is the root of all evil.",2
Short Quote (10–25 words),10,58,length_match,"As a young boy, having two strong fathers both influencing me was difficult.",1
Short Quote (10–25 words),10,59,length_match,"I wanted to be a good son and listen, but the two fathers did not say the same things.",1
Short Quote (10–25 words),10,60,length_match,"The contrast in their points of view, particularly about money, was so extreme that I grew curious and intrigued.",1
Money Terms,10,60,money,"The contrast in their points of view, particularly about money, was so extreme that I grew curious and intrigued.",2
Short Quote (10–25 words),10,61,length_match,I began to start thinking for long periods of time about what each was saying.,1
Mindset & Thinking,10,61,thinking,I began to start thinking for long periods of time about what each was saying.,3
Short Quote (10–25 words),10,62,length_match,"Much of my private time was spent reflecting, asking myself questions such as, Why does he say that?",1
Short Quote (10–25 words),10,63,length_match,and then asking the same question of the other dads statement.,1
Short Quote (10–25 words),10,64,length_match,"It would have been much easier to simply say, Yeah, hes right.",1
Short Quote (10–25 words),10,66,length_match,"Or to simply reject the point of view by saying, The old man doesnt know what hes talking about.",1
Short Quote (10–25 words),10,67,length_match,"Instead, having two dads whom I loved forced me to think and ultimately choose a way of thinking for myself.",1
Mindset & Thinking,10,67,thinking,"Instead, having two dads whom I loved forced me to think and ultimately choose a way of thinking for myself.",3
Money Terms,10,69,money,"One of the reasons the rich get richer, the poor get poorer, and the middle class struggles in debt is that the subject of money is taught at home, not in school.",2
Rich vs Poor Mindset,10,69,"rich get richer, the poor","One of the reasons the rich get richer, the poor get poorer, and the middle class struggles in debt is that the subject of money is taught at home, not in school.",4
Money Terms,10,70,money,Most of us learn about money from our parents.,2
Short Quote (10–25 words),10,71,length_match,So what can poor parents tell their child about money?,1
Money Terms,10,71,money,So what can poor parents tell their child about money?,2
Short Quote (10–25 words),10,73,length_match,"The child may graduate with excellent grades, but with a poor persons financial programming and mindset.",1
Mindset & Thinking,10,73,mindset,"The child may graduate with excellent grades, but with a poor persons financial programming and mindset.",3
Money Terms,10,74,money,"Sadly, money is not taught in schools.",2
Short Quote (10–25 words),10,75,length_match,"Schools focus on scholastic and professional skills, but not on financial skills.",1
Short Quote (10–25 words),10,76,length_match,"This explains how smart bankers, doctors, and accountants who earned excellent grades may struggle financially all of their lives.",1
Money Terms,10,77,money,Our staggering national debt is due in large part to highly educated politicians and government officials making financial decisions with little or no training in the subject of money.,2
Short Quote (10–25 words),10,78,length_match,2 Rich Dad Poor Dad Today I often wonder what will soon happen when we have millions of people who need financial and medical assistance.,1
Rich vs Poor Mindset,10,78,Rich Dad Poor,2 Rich Dad Poor Dad Today I often wonder what will soon happen when we have millions of people who need financial and medical assistance.,4
Short Quote (10–25 words),10,79,length_match,They will be dependent upon their families or the government for financial support.,1
Short Quote (10–25 words),10,80,length_match,What will happen when Medicare and Social Security run out of money?,1
Money Terms,10,80,money,What will happen when Medicare and Social Security run out of money?,2
Short Quote (10–25 words),10,81,length_match,"How will a nation survive if teaching children about money continues to be left to parentsmost of whom will be, or already are, poor?",1
Money Terms,10,81,money,"How will a nation survive if teaching children about money continues to be left to parentsmost of whom will be, or already are, poor?",2
Business & Education,10,81,teach,"How will a nation survive if teaching children about money continues to be left to parentsmost of whom will be, or already are, poor?",2
Short Quote (10–25 words),10,82,length_match,"Because I had two influential fathers, I learned from both of them.",1
Short Quote (10–25 words),10,84,length_match,"For example, one dad had a habit of saying, I cant afford it.",1
Short Quote (10–25 words),10,87,length_match,"One is a statement, and the other is a question.",1
Short Quote (10–25 words),10,88,length_match,"One lets you off the hook, and the other forces you to think.",1
Short Quote (10–25 words),10,89,length_match,"My soontoberich dad would explain that by automatically saying the words I cant afford it, your brain stops working.",1
Short Quote (10–25 words),10,92,length_match,He did not mean that you should buy everything you want.,1
Short Quote (10–25 words),10,93,length_match,"He was fanatical about exercising your mind, the most powerful computer in the world.",1
Short Quote (10–25 words),10,94,length_match,"Hed say, My brain gets stronger every day because I exercise it.",1
Short Quote (10–25 words),10,95,length_match,"The stronger it gets, the more money I can make.",1
Money Terms,10,95,money,"The stronger it gets, the more money I can make.",2
Short Quote (10–25 words),10,96,length_match,He believed that automatically saying I cant afford it was a sign of mental laziness.,1
Short Quote (10–25 words),10,98,length_match,"The longterm result was that one dad grew stronger financially, and the other grew weaker.",1
Short Quote (10–25 words),10,100,length_match,"Proper physical exercise increases your chances for health, and proper mental exercise increases your chances for wealth.",1
Wealth Building,10,100,wealth,"Proper physical exercise increases your chances for health, and proper mental exercise increases your chances for wealth.",4
Short Quote (10–25 words),10,101,length_match,My two dads had opposing attitudes and that affected the way they thought.,1
Short Quote (10–25 words),10,102,length_match,One dad thought that the rich should pay more in taxes to take care of those less fortunate.,1
Short Quote (10–25 words),10,103,length_match,"The other said, Taxes punish those who produce and reward those who dont produce.",1
Short Quote (10–25 words),10,104,length_match,"3 Introduction One dad recommended, Study hard so you can find a good company to work for.",1
Short Quote (10–25 words),10,105,length_match,"The other recommended, Study hard so you can find a good company to buy.",1
Short Quote (10–25 words),10,106,length_match,"One dad said, The reason Im not rich is because I have you kids.",1
Short Quote (10–25 words),10,107,length_match,"The other said, The reason I must be rich is because I have you kids.",1
Short Quote (10–25 words),10,108,length_match,"One encouraged talking about money and business at the dinner table, while the other forbade the subject of money to be discussed over a meal.",1
Money Terms,10,108,money,"One encouraged talking about money and business at the dinner table, while the other forbade the subject of money to be discussed over a meal.",2
Business & Education,10,108,business,"One encouraged talking about money and business at the dinner table, while the other forbade the subject of money to be discussed over a meal.",2
Short Quote (10–25 words),10,109,length_match,"One said, When it comes to money, play it safe.",1
Money Terms,10,109,money,"One said, When it comes to money, play it safe.",2
Fear & Risk,10,110,risk,Dont take risks.,2
Fear & Risk,10,111,risk,"The other said, Learn to manage risk.",2
Short Quote (10–25 words),10,112,length_match,"One believed, Our home is our largest investment and our greatest asset.",1
Assets vs Liabilities,10,112,asset,"One believed, Our home is our largest investment and our greatest asset.",3
Investment Advice,10,112,invest,"One believed, Our home is our largest investment and our greatest asset.",3
Short Quote (10–25 words),10,113,length_match,"The other believed, My house is a liability, and if your house is your largest investment, youre in trouble.",1
Assets vs Liabilities,10,113,liability,"The other believed, My house is a liability, and if your house is your largest investment, youre in trouble.",3
Investment Advice,10,113,invest,"The other believed, My house is a liability, and if your house is your largest investment, youre in trouble.",3
Short Quote (10–25 words),10,114,length_match,"Both dads paid their bills on time, yet one paid his bills first while the other paid his bills last.",1
Short Quote (10–25 words),10,115,length_match,One dad believed in a company or the government taking care of you and your needs.,1
Short Quote (10–25 words),10,116,length_match,"He was always concerned about pay raises, retirement plans, medical benefits, sick leave, vacation days, and other perks.",1
Short Quote (10–25 words),10,117,length_match,He was impressed with two of his uncles who joined the military and earned a retirementandentitlement package for life after twenty years of active service.,1
Short Quote (10–25 words),10,118,length_match,He loved the idea of medical benefits and PX privileges the military provided its retirees.,1
Short Quote (10–25 words),10,119,length_match,He also loved the tenure system available through the university.,1
Short Quote (10–25 words),10,120,length_match,"The idea of job protection for life and job benefits seemed more important, at times, than the job.",1
Short Quote (10–25 words),10,121,length_match,"He would often say, Ive worked hard for the government, and Im entitled to these benefits.",1
Short Quote (10–25 words),10,123,length_match,He spoke out against the entitlement mentality and how it created weak and financially needy people.,1
Investment Advice,10,126,invest,The other created investments.,3
Short Quote (10–25 words),10,127,length_match,One dad taught me how to write an impressive resum so I could find a good job.,1
Short Quote (10–25 words),10,128,length_match,The other taught me how to write strong business and financial plans so I could create jobs.,1
Business & Education,10,128,business,The other taught me how to write strong business and financial plans so I could create jobs.,2
Wealth Building,10,128,create,The other taught me how to write strong business and financial plans so I could create jobs.,4
Rich vs Poor Mindset,10,129,Rich Dad Poor,4 Rich Dad Poor Dad Being a product of two strong dads allowed me the luxury of observing the effects different thoughts have on ones life.,4
Short Quote (10–25 words),10,130,length_match,I noticed that people really do shape their lives through their thoughts.,1
Short Quote (10–25 words),10,131,length_match,"For example, my poor dad always said, Ill never be rich.",1
Rich vs Poor Mindset,10,131,"poor dad always said, Ill never be rich","For example, my poor dad always said, Ill never be rich.",4
Short Quote (10–25 words),10,133,length_match,"My rich dad, on the other hand, always referred to himself as rich.",1
Short Quote (10–25 words),10,134,length_match,"He would say things like, Im a rich man, and rich people dont do this.",1
Short Quote (10–25 words),10,135,length_match,"Even when he was flat broke after a major financial setback, he continued to refer to himself as a rich man.",1
Short Quote (10–25 words),10,136,length_match,"He would cover himself by saying, There is a difference between being poor and being broke.",1
Short Quote (10–25 words),10,139,length_match,"My poor dad would say, Im not interested in money, or Money doesnt matter.",1
Money Terms,10,139,money,"My poor dad would say, Im not interested in money, or Money doesnt matter.",2
Money Terms,10,140,Money,"My rich dad always said, Money is power.",2
Short Quote (10–25 words),10,142,length_match,"I noticed that my between being poor poor dad was poor, not because of the and being broke.",1
Short Quote (10–25 words),10,143,length_match,"amount of money he earned, which was Broke is temporary.",1
Money Terms,10,143,money,"amount of money he earned, which was Broke is temporary.",2
Short Quote (10–25 words),10,146,length_match,"fathers, I became acutely aware of being careful about which thoughts I chose to adopt as my own.",1
Short Quote (10–25 words),10,147,length_match,Should I listen to my rich dad or to my poor dad?,1
Rich vs Poor Mindset,10,147,rich dad or to my poor,Should I listen to my rich dad or to my poor dad?,4
Short Quote (10–25 words),10,148,length_match,"Although both men had tremendous respect for education and learning, they disagreed about what they thought was important to learn.",1
Business & Education,10,148,education,"Although both men had tremendous respect for education and learning, they disagreed about what they thought was important to learn.",2
Short Quote (10–25 words),10,149,length_match,"One wanted me to study hard, earn a degree, and get a good job to earn money.",1
Money Terms,10,149,earn,"One wanted me to study hard, earn a degree, and get a good job to earn money.",2
Short Quote (10–25 words),10,150,length_match,"He wanted me to study to become a professional, an attorney or an accountant, and to go to business school for my MBA.",1
Business & Education,10,150,business,"He wanted me to study to become a professional, an attorney or an accountant, and to go to business school for my MBA.",2
Short Quote (10–25 words),10,151,length_match,"The other encouraged me to study to be rich, to understand how money works, and to learn how to have it work for me.",1
Money Terms,10,151,money,"The other encouraged me to study to be rich, to understand how money works, and to learn how to have it work for me.",2
Money Terms,10,152,money,I dont work for money!,2
Money Terms,10,154,Money,Money works for me!,2
Short Quote (10–25 words),10,155,length_match,"At the age of nine, I decided to listen to and learn from my rich dad about money.",1
Money Terms,10,155,money,"At the age of nine, I decided to listen to and learn from my rich dad about money.",2
Short Quote (10–25 words),10,156,length_match,"In doing so, I chose not to listen to my poor dad, even though he was the one with all the college degrees.",1
Short Quote (10–25 words),10,157,length_match,5 Introduction A Lesson from Robert Frost Robert Frost is my favorite poet.,1
Short Quote (10–25 words),10,158,length_match,"Although I love many of his poems, my favorite is The Road Not Taken.",1
Short Quote (10–25 words),10,162,length_match,"Yet knowing how way leads onto way, I doubted if I should ever come back.",1
Short Quote (10–25 words),10,164,length_match,6 Rich Dad Poor Dad And that has made all the difference.,1
Rich vs Poor Mindset,10,164,Rich Dad Poor,6 Rich Dad Poor Dad And that has made all the difference.,4
Short Quote (10–25 words),10,165,length_match,"Over the years, I have often reflected upon Robert Frosts poem.",1
Money Terms,10,166,money,"Choosing not to listen to my highly educated dads advice and attitude about money was a painful decision, but it was a decision that shaped the rest of my life.",2
Mindset & Thinking,10,166,attitude,"Choosing not to listen to my highly educated dads advice and attitude about money was a painful decision, but it was a decision that shaped the rest of my life.",3
Short Quote (10–25 words),10,167,length_match,"Once I made up my mind about whom to listen to, my education about money began.",1
Money Terms,10,167,money,"Once I made up my mind about whom to listen to, my education about money began.",2
Business & Education,10,167,education,"Once I made up my mind about whom to listen to, my education about money began.",2
Short Quote (10–25 words),10,168,length_match,My rich dad taught me over a period of 30 years until I was 39 years old.,1
Short Quote (10–25 words),10,169,length_match,He stopped once he realized that I knew and fully understood what he had been trying to drum into my oftenthick skull.,1
Money Terms,10,170,Money,Money is one form of power.,2
Business & Education,10,171,financial education,But what is more powerful is financial education.,2
Short Quote (10–25 words),10,172,length_match,"Money comes and goes, but if you have the education about how money works, you gain power over it and can begin building wealth.",1
Money Terms,10,172,Money,"Money comes and goes, but if you have the education about how money works, you gain power over it and can begin building wealth.",2
Business & Education,10,172,education,"Money comes and goes, but if you have the education about how money works, you gain power over it and can begin building wealth.",2
Wealth Building,10,172,wealth,"Money comes and goes, but if you have the education about how money works, you gain power over it and can begin building wealth.",4
Money Terms,10,173,money,"The reason positive thinking alone does not work is because most people went to school and never learned how money works, so they spend their lives working for money.",2
Mindset & Thinking,10,173,thinking,"The reason positive thinking alone does not work is because most people went to school and never learned how money works, so they spend their lives working for money.",3
Short Quote (10–25 words),10,174,length_match,"Because I was only nine years old when I started, the lessons my rich dad taught me were simple.",1
Short Quote (10–25 words),10,175,length_match,"And when it was all said and done, there were only six main lessons, repeated over 30 years.",1
Short Quote (10–25 words),10,176,length_match,"This book is about those six lessons, put as simply as possible, just as simply as my rich dad put forth those lessons to me.",1
Wealth Building,10,177,grow,"The lessons are meant not to be answers, but guideposts that will assist you and your children to grow wealthier no matter what happens in a world of increasing change and uncertainty.",4
Short Quote (10–25 words),10,178,length_match,7 Chapter One LESSON 1 THE RICH DON'T WORK FOR MONEY The poor and the middle class work for money.,1
Money Terms,10,178,MONEY,7 Chapter One LESSON 1 THE RICH DON'T WORK FOR MONEY The poor and the middle class work for money.,2
Rich vs Poor Mindset,10,178,RICH DON'T WORK FOR MONEY The poor,7 Chapter One LESSON 1 THE RICH DON'T WORK FOR MONEY The poor and the middle class work for money.,4
Money Terms,10,179,money,The rich have money work for them.,2
Short Quote (10–25 words),10,183,length_match,"Because today Jimmys mom drove up in their new Cadillac, and they were going to their beach house for the weekend.",1
Short Quote (10–25 words),10,184,length_match,"He took three of his friends, but Mike and I werent invited.",1
Short Quote (10–25 words),10,185,length_match,They told us we werent invited because we were poor kids.,1
Short Quote (10–25 words),10,189,length_match,"My dad silently shook his head, pushed his glasses up the bridge of his nose, and went back to reading the paper.",1
Short Quote (10–25 words),10,193,length_match,"By some twist of fate, I attended the same public school where the rich people sent their kids.",1
Short Quote (10–25 words),10,195,length_match,"The managers of the plantation and the other affluent people, such as doctors, business owners, and bankers, sent their children to this elementary school.",1
Business & Education,10,195,business,"The managers of the plantation and the other affluent people, such as doctors, business owners, and bankers, sent their children to this elementary school.",2
Short Quote (10–25 words),10,196,length_match,"After grade six, their children were generally sent off to private schools.",1
Short Quote (10–25 words),10,197,length_match,"Because my family lived on one side of the street, I went to this school.",1
Short Quote (10–25 words),10,199,length_match,"After grade six, these kids and I would go on to the public intermediate and high school.",1
Short Quote (10–25 words),10,200,length_match,There was no private school for them or for me.,1
Mindset & Thinking,10,202,thinking,I could tell he was thinking.,3
Short Quote (10–25 words),10,204,length_match,"If you want to be rich, you have to learn to make money.",1
Money Terms,10,204,money,"If you want to be rich, you have to learn to make money.",2
Money Terms,10,205,money,How do I make money?,2
Short Quote (10–25 words),10,208,length_match,"Even then I knew that really meant, Thats all Im going to tell you, or I dont know the answer, so dont embarrass me.",1
Short Quote (10–25 words),10,209,length_match,"A Partnership Is Formed The next morning, I told my best friend, Mike, what my dad had said.",1
Short Quote (10–25 words),10,210,length_match,"As best as I could tell, Mike and I were the only poor kids in this school.",1
Short Quote (10–25 words),10,211,length_match,Mike was also in this school by a twist of fate.,1
Short Quote (10–25 words),10,212,length_match,"Someone had drawn a jog in the line for the school district, and we wound up in school with the rich kids.",1
Short Quote (10–25 words),10,213,length_match,"We werent really poor, but we felt as if we were because all the other boys had new baseball gloves, new bicycles, new everything.",1
Short Quote (10–25 words),10,214,length_match,"Mom and Dad provided us with the basics, like food, shelter, and clothes.",1
Short Quote (10–25 words),10,216,length_match,"My dad used to say, If you want something, work for it.",1
Short Quote (10–25 words),10,217,length_match,"We wanted things, but there was not much work available for nineyearold boys.",1
Money Terms,10,218,money,So what do we do to make money?,2
